Object,tool,quantity,time,type
Twig Stairs L Shape,40mm HE Grenade,1,1 sec,Explosive
Twig Stairs L Shape,Rocket,1,1 sec,Explosive
Twig Stairs L Shape,Incendiary Rocket,1,1 sec,Explosive
Twig Stairs L Shape,High Velocity Rocket,1,1 sec,Explosive
Twig Stairs L Shape,Timed Explosive Charge,1,10 sec,Explosive
Twig Stairs L Shape,Beancan Grenade ,1,6 sec,Explosive
Twig Stairs L Shape,Fire Arrow,1,1 sec,Explosive
Twig Stairs L Shape,F1 Grenade ,1,5 sec,Explosive
Twig Stairs L Shape,Flame Thrower,2,17 sec,Explosive
Twig Stairs L Shape,Satchel Charge,1,9 sec,Explosive
Twig Stairs L Shape,Explosive 5.56 Rifle Ammo,1,1 sec,Explosive
Twig Stairs L Shape,Flashlight,1,4 sec,Melee
Twig Stairs L Shape,Jackhammer,1,1 sec,Melee
Twig Stairs L Shape,JackhammerWorkbench Refill,1,,Melee
Twig Stairs L Shape,Bone Club,1,3 sec,Melee
Twig Stairs L Shape,Bone Knife,1,2 sec,Melee
Twig Stairs L Shape,Chainsaw,1,1 sec,Melee
Twig Stairs L Shape,Salvaged Cleaver,1,2 sec,Melee
Twig Stairs L Shape,Hatchet,1,1 sec,Melee
Twig Stairs L Shape,Combat Knife,1,1 sec,Melee
Twig Stairs L Shape,Mace,1,2 sec,Melee
Twig Stairs L Shape,Machete,1,2 sec,Melee
Twig Stairs L Shape,Paddle,1,2 sec,Melee
Twig Stairs L Shape,Pickaxe,1,3 sec,Melee
Twig Stairs L Shape,Rock,1,6 sec,Melee
Twig Stairs L Shape,Salvaged Axe,1,2 sec,Melee
Twig Stairs L Shape,Salvaged Hammer,1,2 sec,Melee
Twig Stairs L Shape,Salvaged Icepick,1,2 sec,Melee
Twig Stairs L Shape,Stone Hatchet,1,3 sec,Melee
Twig Stairs L Shape,Stone Pickaxe,1,2 sec,Melee
Twig Stairs L Shape,Stone Spear,1,3 sec,Melee
Twig Stairs L Shape,Longsword,1,2 sec,Melee
Twig Stairs L Shape,Salvaged Sword,1,1 sec,Melee
Twig Stairs L Shape,Torch,1,13 sec,Melee
Twig Stairs L Shape,TorchLit,1,9 sec,Melee
Twig Stairs L Shape,Wooden Spear,1,3 sec,Melee
Wooden Stairs L Shape,40mm HE Grenade,8,8 sec,Explosive
Wooden Stairs L Shape,Rocket,2,6 sec,Explosive
Wooden Stairs L Shape,Incendiary Rocket,1,20 sec,Explosive
Wooden Stairs L Shape,High Velocity Rocket,8,42 sec,Explosive
Wooden Stairs L Shape,Timed Explosive Charge,1,10 sec,Explosive
Wooden Stairs L Shape,Beancan Grenade ,13,51 sec,Explosive
Wooden Stairs L Shape,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Stairs L Shape,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Stairs L Shape,Flame Thrower,206,44 sec,Explosive
Wooden Stairs L Shape,Satchel Charge,3,12 sec,Explosive
Wooden Stairs L Shape,Explosive 5.56 Rifle Ammo,44,15 sec,Explosive
Wooden Stairs L Shape,Flashlight,65,14 min 58 sec,Melee
Wooden Stairs L Shape,Jackhammer,3,27 sec,Melee
Wooden Stairs L Shape,JackhammerWorkbench Refill,1,31 sec,Melee
Wooden Stairs L Shape,Bone Club,44,12 min 52 sec,Melee
Wooden Stairs L Shape,Bone Knife,4,1 min 16 sec,Melee
Wooden Stairs L Shape,Chainsaw,3,23 sec,Melee
Wooden Stairs L Shape,Salvaged Cleaver,1,42 sec,Melee
Wooden Stairs L Shape,Hatchet,2,1 min 12 sec,Melee
Wooden Stairs L Shape,Combat Knife,4,36 sec,Melee
Wooden Stairs L Shape,Mace,14,8 min 33 sec,Melee
Wooden Stairs L Shape,Machete,2,37 sec,Melee
Wooden Stairs L Shape,Paddle,10,8 min 50 sec,Melee
Wooden Stairs L Shape,Pickaxe,1,1 min 34 sec,Melee
Wooden Stairs L Shape,Rock,37,27 min 41 sec,Melee
Wooden Stairs L Shape,Salvaged Axe,1,42 sec,Melee
Wooden Stairs L Shape,Salvaged Hammer,6,7 min 2 sec,Melee
Wooden Stairs L Shape,Salvaged Icepick,1,52 sec,Melee
Wooden Stairs L Shape,Stone Hatchet,5,1 min 52 sec,Melee
Wooden Stairs L Shape,Stone Pickaxe,10,3 min 27 sec,Melee
Wooden Stairs L Shape,Stone Spear,7,1 min 54 sec,Melee
Wooden Stairs L Shape,Longsword,1,34 sec,Melee
Wooden Stairs L Shape,Salvaged Sword,1,31 sec,Melee
Wooden Stairs L Shape,Torch,97,55 min 46 sec,Melee
Wooden Stairs L Shape,TorchLit,179,30 min 3 sec,Melee
Wooden Stairs L Shape,Wooden Spear,6,2 min 35 sec,Melee
Stone Stairs L Shape,40mm HE Grenade,27,32 sec,Explosive
Stone Stairs L Shape,Rocket,4,18 sec,Explosive
Stone Stairs L Shape,High Velocity Rocket,31,3 min ,Explosive
Stone Stairs L Shape,Timed Explosive Charge,2,11 sec,Explosive
Stone Stairs L Shape,Beancan Grenade ,46,2 min 55 sec,Explosive
Stone Stairs L Shape,F1 Grenade ,182,9 min 8 sec,Explosive
Stone Stairs L Shape,Satchel Charge,10,22 sec,Explosive
Stone Stairs L Shape,Explosive 5.56 Rifle Ammo,173,1 min 12 sec,Explosive
Stone Stairs L Shape,Flashlight,129,29 min 55 sec,Melee
Stone Stairs L Shape,Jackhammer,9,1 min 48 sec,Melee
Stone Stairs L Shape,JackhammerWorkbench Refill,1,2 min 10 sec,Melee
Stone Stairs L Shape,Bone Club,87,25 min 44 sec,Melee
Stone Stairs L Shape,Bone Knife,36,11 min ,Melee
Stone Stairs L Shape,Chainsaw,70,8 min 5 sec,Melee
Stone Stairs L Shape,Salvaged Cleaver,21,14 min 14 sec,Melee
Stone Stairs L Shape,Hatchet,15,15 min 14 sec,Melee
Stone Stairs L Shape,Combat Knife,32,5 min 17 sec,Melee
Stone Stairs L Shape,Mace,27,17 min 6 sec,Melee
Stone Stairs L Shape,Machete,28,12 min 22 sec,Melee
Stone Stairs L Shape,Paddle,19,17 min 40 sec,Melee
Stone Stairs L Shape,Pickaxe,7,10 min 31 sec,Melee
Stone Stairs L Shape,Rock,74,55 min 23 sec,Melee
Stone Stairs L Shape,Salvaged Axe,10,11 min 7 sec,Melee
Stone Stairs L Shape,Salvaged Hammer,12,14 min 5 sec,Melee
Stone Stairs L Shape,Salvaged Icepick,7,7 min 33 sec,Melee
Stone Stairs L Shape,Stone Hatchet,65,26 min 4 sec,Melee
Stone Stairs L Shape,Stone Pickaxe,33,12 min 15 sec,Melee
Stone Stairs L Shape,Stone Spear,26,7 min 34 sec,Melee
Stone Stairs L Shape,Longsword,21,11 min 28 sec,Melee
Stone Stairs L Shape,Salvaged Sword,16,10 min 40 sec,Melee
Stone Stairs L Shape,Torch,193,1 hour 51 min 32 sec,Melee
Stone Stairs L Shape,TorchLit,715,2 hours 14 sec,Melee
Stone Stairs L Shape,Wooden Spear,23,10 min 22 sec,Melee
Metal Stairs L Shape,40mm HE Grenade,56,1 min 12 sec,Explosive
Metal Stairs L Shape,Rocket,8,42 sec,Explosive
Metal Stairs L Shape,High Velocity Rocket,67,6 min 36 sec,Explosive
Metal Stairs L Shape,Timed Explosive Charge,4,14 sec,Explosive
Metal Stairs L Shape,Beancan Grenade ,112,7 min 2 sec,Explosive
Metal Stairs L Shape,F1 Grenade ,993,49 min 41 sec,Explosive
Metal Stairs L Shape,Satchel Charge,23,42 sec,Explosive
Metal Stairs L Shape,Explosive 5.56 Rifle Ammo,399,2 min 51 sec,Explosive
Metal Stairs L Shape,Flashlight,513,1 hour 59 min 39 sec,Melee
Metal Stairs L Shape,Jackhammer,44,9 min 3 sec,Melee
Metal Stairs L Shape,JackhammerWorkbench Refill,3,13 min 16 sec,Melee
Metal Stairs L Shape,Bone Club,348,1 hour 43 min ,Melee
Metal Stairs L Shape,Bone Knife,167,51 min 22 sec,Melee
Metal Stairs L Shape,Chainsaw,278,32 min 23 sec,Melee
Metal Stairs L Shape,Salvaged Cleaver,84,56 min 57 sec,Melee
Metal Stairs L Shape,Hatchet,59,1 hour 58 sec,Melee
Metal Stairs L Shape,Combat Knife,147,24 min 39 sec,Melee
Metal Stairs L Shape,Mace,106,1 hour 8 min 25 sec,Melee
Metal Stairs L Shape,Machete,110,49 min 27 sec,Melee
Metal Stairs L Shape,Paddle,76,1 hour 10 min 42 sec,Melee
Metal Stairs L Shape,Pickaxe,35,50 min 34 sec,Melee
Metal Stairs L Shape,Rock,295,3 hours 41 min 34 sec,Melee
Metal Stairs L Shape,Salvaged Axe,39,46 min 56 sec,Melee
Metal Stairs L Shape,Salvaged Hammer,46,56 min 19 sec,Melee
Metal Stairs L Shape,Salvaged Icepick,30,35 min 12 sec,Melee
Metal Stairs L Shape,Stone Hatchet,257,1 hour 44 min 16 sec,Melee
Metal Stairs L Shape,Stone Pickaxe,155,58 min 7 sec,Melee
Metal Stairs L Shape,Stone Spear,130,37 min 52 sec,Melee
Metal Stairs L Shape,Longsword,84,45 min 51 sec,Melee
Metal Stairs L Shape,Salvaged Sword,61,42 min 40 sec,Melee
Metal Stairs L Shape,Torch,770,7 hours 26 min 9 sec,Melee
Metal Stairs L Shape,TorchLit,2858,8 hours 57 sec,Melee
Metal Stairs L Shape,Wooden Spear,118,51 min 57 sec,Melee
Armored Stairs L Shape,40mm HE Grenade,111,2 min 24 sec,Explosive
Armored Stairs L Shape,Rocket,15,1 min 24 sec,Explosive
Armored Stairs L Shape,High Velocity Rocket,134,13 min 18 sec,Explosive
Armored Stairs L Shape,Timed Explosive Charge,8,20 sec,Explosive
Armored Stairs L Shape,Beancan Grenade ,223,13 min 58 sec,Explosive
Armored Stairs L Shape,F1 Grenade ,1986,1 hour 39 min 20 sec,Explosive
Armored Stairs L Shape,Satchel Charge,46,1 min 16 sec,Explosive
Armored Stairs L Shape,Explosive 5.56 Rifle Ammo,798,5 min 46 sec,Explosive
Armored Stairs L Shape,Flashlight,1026,3 hours 59 min 19 sec,Melee
Armored Stairs L Shape,Jackhammer,87,18 min 6 sec,Melee
Armored Stairs L Shape,JackhammerWorkbench Refill,5,26 min 50 sec,Melee
Armored Stairs L Shape,Bone Club,695,3 hours 26 min ,Melee
Armored Stairs L Shape,Bone Knife,334,1 hour 42 min 46 sec,Melee
Armored Stairs L Shape,Chainsaw,556,1 hour 4 min 48 sec,Melee
Armored Stairs L Shape,Salvaged Cleaver,167,1 hour 53 min 54 sec,Melee
Armored Stairs L Shape,Hatchet,118,2 hours 1 min 57 sec,Melee
Armored Stairs L Shape,Combat Knife,294,49 min 20 sec,Melee
Armored Stairs L Shape,Mace,211,2 hours 16 min 50 sec,Melee
Armored Stairs L Shape,Machete,220,1 hour 38 min 54 sec,Melee
Armored Stairs L Shape,Paddle,152,2 hours 21 min 24 sec,Melee
Armored Stairs L Shape,Pickaxe,69,1 hour 41 min 8 sec,Melee
Armored Stairs L Shape,Rock,589,7 hours 23 min 8 sec,Melee
Armored Stairs L Shape,Salvaged Axe,78,1 hour 33 min 53 sec,Melee
Armored Stairs L Shape,Salvaged Hammer,92,1 hour 52 min 38 sec,Melee
Armored Stairs L Shape,Salvaged Icepick,59,1 hour 10 min 25 sec,Melee
Armored Stairs L Shape,Stone Hatchet,513,3 hours 28 min 32 sec,Melee
Armored Stairs L Shape,Stone Pickaxe,309,1 hour 56 min 15 sec,Melee
Armored Stairs L Shape,Stone Spear,260,1 hour 15 min 46 sec,Melee
Armored Stairs L Shape,Longsword,167,1 hour 31 min 40 sec,Melee
Armored Stairs L Shape,Salvaged Sword,122,1 hour 25 min 21 sec,Melee
Armored Stairs L Shape,Torch,1539,14 hours 52 min 18 sec,Melee
Armored Stairs L Shape,TorchLit,5715,16 hours 1 min 54 sec,Melee
Armored Stairs L Shape,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Twig Wall Frame,40mm HE Grenade,1,1 sec,Explosive
Twig Wall Frame,Rocket,1,1 sec,Explosive
Twig Wall Frame,Incendiary Rocket,1,1 sec,Explosive
Twig Wall Frame,High Velocity Rocket,1,1 sec,Explosive
Twig Wall Frame,Timed Explosive Charge,1,10 sec,Explosive
Twig Wall Frame,Beancan Grenade ,1,6 sec,Explosive
Twig Wall Frame,Fire Arrow,1,1 sec,Explosive
Twig Wall Frame,F1 Grenade ,1,5 sec,Explosive
Twig Wall Frame,Flame Thrower,2,17 sec,Explosive
Twig Wall Frame,Satchel Charge,1,9 sec,Explosive
Twig Wall Frame,Explosive 5.56 Rifle Ammo,2,1 sec,Explosive
Twig Wall Frame,Flashlight,3,36 sec,Melee
Twig Wall Frame,Jackhammer,1,5 sec,Melee
Twig Wall Frame,JackhammerWorkbench Refill,1,5 sec,Melee
Twig Wall Frame,Bone Club,2,30 sec,Melee
Twig Wall Frame,Bone Knife,2,23 sec,Melee
Twig Wall Frame,Chainsaw,2,9 sec,Melee
Twig Wall Frame,Salvaged Cleaver,1,18 sec,Melee
Twig Wall Frame,Hatchet,1,18 sec,Melee
Twig Wall Frame,Combat Knife,2,11 sec,Melee
Twig Wall Frame,Mace,1,20 sec,Melee
Twig Wall Frame,Machete,1,15 sec,Melee
Twig Wall Frame,Paddle,1,21 sec,Melee
Twig Wall Frame,Pickaxe,1,25 sec,Melee
Twig Wall Frame,Rock,2,1 min 6 sec,Melee
Twig Wall Frame,Salvaged Axe,1,16 sec,Melee
Twig Wall Frame,Salvaged Hammer,1,17 sec,Melee
Twig Wall Frame,Salvaged Icepick,1,16 sec,Melee
Twig Wall Frame,Stone Hatchet,2,31 sec,Melee
Twig Wall Frame,Stone Pickaxe,2,28 sec,Melee
Twig Wall Frame,Stone Spear,2,23 sec,Melee
Twig Wall Frame,Longsword,1,14 sec,Melee
Twig Wall Frame,Salvaged Sword,1,12 sec,Melee
Twig Wall Frame,Torch,4,2 min 13 sec,Melee
Twig Wall Frame,TorchLit,3,24 sec,Melee
Twig Wall Frame,Wooden Spear,2,31 sec,Melee
Wooden Wall Frame,40mm HE Grenade,8,8 sec,Explosive
Wooden Wall Frame,Rocket,2,6 sec,Explosive
Wooden Wall Frame,Incendiary Rocket,1,20 sec,Explosive
Wooden Wall Frame,High Velocity Rocket,9,48 sec,Explosive
Wooden Wall Frame,Timed Explosive Charge,1,10 sec,Explosive
Wooden Wall Frame,Beancan Grenade ,13,51 sec,Explosive
Wooden Wall Frame,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Wall Frame,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Wall Frame,Flame Thrower,206,44 sec,Explosive
Wooden Wall Frame,Satchel Charge,3,12 sec,Explosive
Wooden Wall Frame,Explosive 5.56 Rifle Ammo,49,21 sec,Explosive
Wooden Wall Frame,Flashlight,642,2 hours 29 min 35 sec,Melee
Wooden Wall Frame,Jackhammer,22,4 min 31 sec,Melee
Wooden Wall Frame,JackhammerWorkbench Refill,2,6 min 35 sec,Melee
Wooden Wall Frame,Bone Club,435,2 hours 8 min 45 sec,Melee
Wooden Wall Frame,Bone Knife,42,12 min 50 sec,Melee
Wooden Wall Frame,Chainsaw,35,4 min 2 sec,Melee
Wooden Wall Frame,Salvaged Cleaver,11,7 min 8 sec,Melee
Wooden Wall Frame,Hatchet,12,11 min 54 sec,Melee
Wooden Wall Frame,Combat Knife,37,6 min 9 sec,Melee
Wooden Wall Frame,Mace,132,1 hour 25 min 31 sec,Melee
Wooden Wall Frame,Machete,14,6 min 11 sec,Melee
Wooden Wall Frame,Paddle,97,1 hour 28 min 24 sec,Melee
Wooden Wall Frame,Pickaxe,11,15 min 47 sec,Melee
Wooden Wall Frame,Rock,368,4 hours 36 min 57 sec,Melee
Wooden Wall Frame,Salvaged Axe,6,7 min 2 sec,Melee
Wooden Wall Frame,Salvaged Hammer,58,1 hour 10 min 24 sec,Melee
Wooden Wall Frame,Salvaged Icepick,8,8 min 48 sec,Melee
Wooden Wall Frame,Stone Hatchet,46,18 min 36 sec,Melee
Wooden Wall Frame,Stone Pickaxe,96,34 min 28 sec,Melee
Wooden Wall Frame,Stone Spear,65,18 min 56 sec,Melee
Wooden Wall Frame,Longsword,11,5 min 44 sec,Melee
Wooden Wall Frame,Salvaged Sword,8,5 min 19 sec,Melee
Wooden Wall Frame,Torch,962,9 hours 17 min 41 sec,Melee
Wooden Wall Frame,TorchLit,325,54 min 38 sec,Melee
Wooden Wall Frame,Wooden Spear,59,25 min 58 sec,Melee
Stone Wall Frame,40mm HE Grenade,29,33 sec,Explosive
Stone Wall Frame,Rocket,4,18 sec,Explosive
Stone Wall Frame,High Velocity Rocket,32,3 min 6 sec,Explosive
Stone Wall Frame,Timed Explosive Charge,2,11 sec,Explosive
Stone Wall Frame,Beancan Grenade ,46,2 min 55 sec,Explosive
Stone Wall Frame,F1 Grenade ,182,9 min 8 sec,Explosive
Stone Wall Frame,Satchel Charge,10,22 sec,Explosive
Stone Wall Frame,Explosive 5.56 Rifle Ammo,185,1 min 18 sec,Explosive
Stone Wall Frame,Flashlight,1283,4 hours 59 min 9 sec,Melee
Stone Wall Frame,Jackhammer,88,18 min 7 sec,Melee
Stone Wall Frame,JackhammerWorkbench Refill,5,27 min 2 sec,Melee
Stone Wall Frame,Bone Club,869,4 hours 17 min 31 sec,Melee
Stone Wall Frame,Bone Knife,373,1 hour 50 min 22 sec,Melee
Stone Wall Frame,Chainsaw,695,1 hour 21 min ,Melee
Stone Wall Frame,Salvaged Cleaver,209,2 hours 22 min 22 sec,Melee
Stone Wall Frame,Hatchet,150,2 hours 32 min 29 sec,Melee
Stone Wall Frame,Combat Knife,314,52 min 50 sec,Melee
Stone Wall Frame,Mace,264,2 hours 51 min 3 sec,Melee
Stone Wall Frame,Machete,275,2 hours 3 min 37 sec,Melee
Stone Wall Frame,Paddle,194,2 hours 56 min 50 sec,Melee
Stone Wall Frame,Pickaxe,72,1 hour 45 min 21 sec,Melee
Stone Wall Frame,Rock,736,9 hours 13 min 55 sec,Melee
Stone Wall Frame,Salvaged Axe,94,1 hour 51 min 13 sec,Melee
Stone Wall Frame,Salvaged Hammer,116,2 hours 20 min 49 sec,Melee
Stone Wall Frame,Salvaged Icepick,64,1 hour 15 min 28 sec,Melee
Stone Wall Frame,Stone Hatchet,642,4 hours 20 min 41 sec,Melee
Stone Wall Frame,Stone Pickaxe,340,2 hours 2 min 50 sec,Melee
Stone Wall Frame,Stone Spear,260,1 hour 15 min 46 sec,Melee
Stone Wall Frame,Longsword,209,1 hour 54 min 36 sec,Melee
Stone Wall Frame,Salvaged Sword,157,1 hour 46 min 46 sec,Melee
Stone Wall Frame,Torch,1924,18 hours 35 min 23 sec,Melee
Stone Wall Frame,TorchLit,7143,20 hours 2 min 22 sec,Melee
Stone Wall Frame,Wooden Spear,236,1 hour 43 min 55 sec,Melee
Metal Wall Frame,40mm HE Grenade,57,1 min 12 sec,Explosive
Metal Wall Frame,Rocket,8,42 sec,Explosive
Metal Wall Frame,High Velocity Rocket,67,6 min 36 sec,Explosive
Metal Wall Frame,Timed Explosive Charge,4,14 sec,Explosive
Metal Wall Frame,Beancan Grenade ,112,7 min 2 sec,Explosive
Metal Wall Frame,F1 Grenade ,993,49 min 41 sec,Explosive
Metal Wall Frame,Satchel Charge,23,42 sec,Explosive
Metal Wall Frame,Explosive 5.56 Rifle Ammo,400,2 min 51 sec,Explosive
Metal Wall Frame,Flashlight,5129,19 hours 56 min 35 sec,Melee
Metal Wall Frame,Jackhammer,439,1 hour 30 min 38 sec,Melee
Metal Wall Frame,JackhammerWorkbench Refill,25,2 hours 17 min 50 sec,Melee
Metal Wall Frame,Bone Club,3473,17 hours 10 min 5 sec,Melee
Metal Wall Frame,Bone Knife,1737,8 hours 35 min 2 sec,Melee
Metal Wall Frame,Chainsaw,2778,5 hours 24 min 3 sec,Melee
Metal Wall Frame,Salvaged Cleaver,834,9 hours 29 min 27 sec,Melee
Metal Wall Frame,Hatchet,598,10 hours 9 min 57 sec,Melee
Metal Wall Frame,Combat Knife,1466,4 hours 6 min 38 sec,Melee
Metal Wall Frame,Mace,1053,11 hours 24 min 12 sec,Melee
Metal Wall Frame,Machete,1099,8 hours 14 min 30 sec,Melee
Metal Wall Frame,Paddle,776,11 hours 47 min 22 sec,Melee
Metal Wall Frame,Pickaxe,345,8 hours 25 min 44 sec,Melee
Metal Wall Frame,Rock,2942,36 hours 55 min 41 sec,Melee
Metal Wall Frame,Salvaged Axe,397,7 hours 49 min 34 sec,Melee
Metal Wall Frame,Salvaged Hammer,463,9 hours 23 min 16 sec,Melee
Metal Wall Frame,Salvaged Icepick,298,5 hours 52 min 10 sec,Melee
Metal Wall Frame,Stone Hatchet,2565,17 hours 22 min 44 sec,Melee
Metal Wall Frame,Stone Pickaxe,1611,9 hours 42 min 24 sec,Melee
Metal Wall Frame,Stone Spear,1299,6 hours 18 min 47 sec,Melee
Metal Wall Frame,Longsword,834,7 hours 38 min 21 sec,Melee
Metal Wall Frame,Salvaged Sword,625,7 hours 7 min 4 sec,Melee
Metal Wall Frame,Torch,7693,74 hours 21 min 32 sec,Melee
Metal Wall Frame,TorchLit,28572,80 hours 9 min 31 sec,Melee
Metal Wall Frame,Wooden Spear,1177,8 hours 39 min 36 sec,Melee
Armored Wall Frame,40mm HE Grenade,114,2 min 26 sec,Explosive
Armored Wall Frame,Rocket,15,1 min 24 sec,Explosive
Armored Wall Frame,High Velocity Rocket,134,13 min 18 sec,Explosive
Armored Wall Frame,Timed Explosive Charge,8,20 sec,Explosive
Armored Wall Frame,Beancan Grenade ,223,13 min 58 sec,Explosive
Armored Wall Frame,F1 Grenade ,1986,1 hour 39 min 20 sec,Explosive
Armored Wall Frame,Satchel Charge,46,1 min 16 sec,Explosive
Armored Wall Frame,Explosive 5.56 Rifle Ammo,799,5 min 46 sec,Explosive
Armored Wall Frame,Flashlight,10257,39 hours 53 min 10 sec,Melee
Armored Wall Frame,Jackhammer,878,3 hours 1 min 17 sec,Melee
Armored Wall Frame,JackhammerWorkbench Refill,49,4 hours 35 min 40 sec,Melee
Armored Wall Frame,Bone Club,6945,34 hours 20 min 10 sec,Melee
Armored Wall Frame,Bone Knife,3473,17 hours 10 min 5 sec,Melee
Armored Wall Frame,Chainsaw,5556,10 hours 48 min 8 sec,Melee
Armored Wall Frame,Salvaged Cleaver,1667,18 hours 58 min 54 sec,Melee
Armored Wall Frame,Hatchet,1195,20 hours 19 min 54 sec,Melee
Armored Wall Frame,Combat Knife,2931,8 hours 13 min 17 sec,Melee
Armored Wall Frame,Mace,2106,22 hours 48 min 25 sec,Melee
Armored Wall Frame,Machete,2198,16 hours 29 min ,Melee
Armored Wall Frame,Paddle,1551,23 hours 34 min 43 sec,Melee
Armored Wall Frame,Pickaxe,690,16 hours 51 min 29 sec,Melee
Armored Wall Frame,Rock,5883,73 hours 51 min 22 sec,Melee
Armored Wall Frame,Salvaged Axe,794,15 hours 39 min 9 sec,Melee
Armored Wall Frame,Salvaged Hammer,926,18 hours 46 min 32 sec,Melee
Armored Wall Frame,Salvaged Icepick,596,11 hours 44 min 22 sec,Melee
Armored Wall Frame,Stone Hatchet,5129,34 hours 45 min 28 sec,Melee
Armored Wall Frame,Stone Pickaxe,3221,19 hours 24 min 47 sec,Melee
Armored Wall Frame,Stone Spear,2598,12 hours 37 min 35 sec,Melee
Armored Wall Frame,Longsword,1667,15 hours 16 min 40 sec,Melee
Armored Wall Frame,Salvaged Sword,1250,14 hours 14 min 9 sec,Melee
Armored Wall Frame,Torch,15385,148 hours 43 min 4 sec,Melee
Armored Wall Frame,TorchLit,57143,160 hours 19 min 2 sec,Melee
Armored Wall Frame,Wooden Spear,2353,17 hours 19 min 12 sec,Melee
Twig Floor Frame,40mm HE Grenade,1,1 sec,Explosive
Twig Floor Frame,Rocket,1,1 sec,Explosive
Twig Floor Frame,Incendiary Rocket,1,1 sec,Explosive
Twig Floor Frame,High Velocity Rocket,1,1 sec,Explosive
Twig Floor Frame,Timed Explosive Charge,1,10 sec,Explosive
Twig Floor Frame,Beancan Grenade ,1,6 sec,Explosive
Twig Floor Frame,Fire Arrow,1,1 sec,Explosive
Twig Floor Frame,F1 Grenade ,1,5 sec,Explosive
Twig Floor Frame,Flame Thrower,2,17 sec,Explosive
Twig Floor Frame,Satchel Charge,1,9 sec,Explosive
Twig Floor Frame,Explosive 5.56 Rifle Ammo,2,1 sec,Explosive
Twig Floor Frame,Flashlight,3,36 sec,Melee
Twig Floor Frame,Jackhammer,1,5 sec,Melee
Twig Floor Frame,JackhammerWorkbench Refill,1,5 sec,Melee
Twig Floor Frame,Bone Club,2,30 sec,Melee
Twig Floor Frame,Bone Knife,2,23 sec,Melee
Twig Floor Frame,Chainsaw,2,9 sec,Melee
Twig Floor Frame,Salvaged Cleaver,1,18 sec,Melee
Twig Floor Frame,Hatchet,1,18 sec,Melee
Twig Floor Frame,Combat Knife,2,11 sec,Melee
Twig Floor Frame,Mace,1,20 sec,Melee
Twig Floor Frame,Machete,1,15 sec,Melee
Twig Floor Frame,Paddle,1,21 sec,Melee
Twig Floor Frame,Pickaxe,1,25 sec,Melee
Twig Floor Frame,Rock,2,1 min 6 sec,Melee
Twig Floor Frame,Salvaged Axe,1,16 sec,Melee
Twig Floor Frame,Salvaged Hammer,1,17 sec,Melee
Twig Floor Frame,Salvaged Icepick,1,16 sec,Melee
Twig Floor Frame,Stone Hatchet,2,31 sec,Melee
Twig Floor Frame,Stone Pickaxe,2,28 sec,Melee
Twig Floor Frame,Stone Spear,2,23 sec,Melee
Twig Floor Frame,Longsword,1,14 sec,Melee
Twig Floor Frame,Salvaged Sword,1,12 sec,Melee
Twig Floor Frame,Torch,4,2 min 13 sec,Melee
Twig Floor Frame,TorchLit,3,24 sec,Melee
Twig Floor Frame,Wooden Spear,2,31 sec,Melee
Wooden Floor Frame,40mm HE Grenade,8,8 sec,Explosive
Wooden Floor Frame,Rocket,2,6 sec,Explosive
Wooden Floor Frame,Incendiary Rocket,1,20 sec,Explosive
Wooden Floor Frame,High Velocity Rocket,9,48 sec,Explosive
Wooden Floor Frame,Timed Explosive Charge,1,10 sec,Explosive
Wooden Floor Frame,Beancan Grenade ,13,51 sec,Explosive
Wooden Floor Frame,Fire Arrow,125,2 min 4 sec,Explosive
Wooden Floor Frame,F1 Grenade ,59,2 min 59 sec,Explosive
Wooden Floor Frame,Flame Thrower,206,44 sec,Explosive
Wooden Floor Frame,Satchel Charge,3,12 sec,Explosive
Wooden Floor Frame,Explosive 5.56 Rifle Ammo,49,21 sec,Explosive
Wooden Floor Frame,Flashlight,642,2 hours 29 min 35 sec,Melee
Wooden Floor Frame,Jackhammer,22,4 min 31 sec,Melee
Wooden Floor Frame,JackhammerWorkbench Refill,2,6 min 35 sec,Melee
Wooden Floor Frame,Bone Club,435,2 hours 8 min 45 sec,Melee
Wooden Floor Frame,Bone Knife,42,12 min 50 sec,Melee
Wooden Floor Frame,Chainsaw,35,4 min 2 sec,Melee
Wooden Floor Frame,Salvaged Cleaver,11,7 min 8 sec,Melee
Wooden Floor Frame,Hatchet,12,11 min 54 sec,Melee
Wooden Floor Frame,Combat Knife,37,6 min 9 sec,Melee
Wooden Floor Frame,Mace,132,1 hour 25 min 31 sec,Melee
Wooden Floor Frame,Machete,14,6 min 11 sec,Melee
Wooden Floor Frame,Paddle,97,1 hour 28 min 24 sec,Melee
Wooden Floor Frame,Pickaxe,11,15 min 47 sec,Melee
Wooden Floor Frame,Rock,368,4 hours 36 min 57 sec,Melee
Wooden Floor Frame,Salvaged Axe,6,7 min 2 sec,Melee
Wooden Floor Frame,Salvaged Hammer,58,1 hour 10 min 24 sec,Melee
Wooden Floor Frame,Salvaged Icepick,8,8 min 48 sec,Melee
Wooden Floor Frame,Stone Hatchet,46,18 min 36 sec,Melee
